height_map envu: number_of_rows = 40, number_of_columns = 40
SERV_IP = 192.168 123
my_vehicle->iID = 868
P.y = 18.749985, Pt.y = 0.000000, Q.y = 18.749985, Qt.y = 0.000000, R.y = 18.749985, Rt.y = 0.000000, S.y = 18.749985, St.y = 0.000000
P.y = 18.722298, Pt.y = 0.000000, Q.y = 18.722298, Qt.y = 0.000000, R.y = 18.722298, Rt.y = 0.000000, S.y = 18.722298, St.y = 0.000000
P.y = 18.694307, Pt.y = 0.000000, Q.y = 18.694307, Qt.y = 0.000000, R.y = 18.694307, Rt.y = 0.000000, S.y = 18.694307, St.y = 0.000000
P.y = 18.666014, Pt.y = 0.000000, Q.y = 18.666014, Qt.y = 0.000000, R.y = 18.666014, Rt.y = 0.000000, S.y = 18.666014, St.y = 0.000000
P.y = 18.637417, Pt.y = 0.000000, Q.y = 18.637417, Qt.y = 0.000000, R.y = 18.637417, Rt.y = 0.000000, S.y = 18.637417, St.y = 0.000000
P.y = 18.608517, Pt.y = 0.000000, Q.y = 18.608517, Qt.y = 0.000000, R.y = 18.608517, Rt.y = 0.000000, S.y = 18.608517, St.y = 0.000000
P.y = 18.579313, Pt.y = 0.000000, Q.y = 18.579313, Qt.y = 0.000000, R.y = 18.579313, Rt.y = 0.000000, S.y = 18.579313, St.y = 0.000000
P.y = 18.549807, Pt.y = 0.000000, Q.y = 18.549807, Qt.y = 0.000000, R.y = 18.549807, Rt.y = 0.000000, S.y = 18.549807, St.y = 0.000000
P.y = 18.519997, Pt.y = 0.000000, Q.y = 18.519997, Qt.y = 0.000000, R.y = 18.519997, Rt.y = 0.000000, S.y = 18.519997, St.y = 0.000000
P.y = 18.489883, Pt.y = 0.000000, Q.y = 18.489883, Qt.y = 0.000000, R.y = 18.489883, Rt.y = 0.000000, S.y = 18.489883, St.y = 0.000000
P.y = 18.459467, Pt.y = 0.000000, Q.y = 18.459467, Qt.y = 0.000000, R.y = 18.459467, Rt.y = 0.000000, S.y = 18.459467, St.y = 0.000000
P.y = 18.428747, Pt.y = 0.000000, Q.y = 18.428747, Qt.y = 0.000000, R.y = 18.428747, Rt.y = 0.000000, S.y = 18.428747, St.y = 0.000000
P.y = 18.397724, Pt.y = 0.000000, Q.y = 18.397724, Qt.y = 0.000000, R.y = 18.397724, Rt.y = 0.000000, S.y = 18.397724, St.y = 0.000000
P.y = 18.366398, Pt.y = 0.000000, Q.y = 18.366398, Qt.y = 0.000000, R.y = 18.366398, Rt.y = 0.000000, S.y = 18.366398, St.y = 0.000000
P.y = 18.334768, Pt.y = 0.000000, Q.y = 18.334768, Qt.y = 0.000000, R.y = 18.334768, Rt.y = 0.000000, S.y = 18.334768, St.y = 0.000000
P.y = 18.302835, Pt.y = 0.000000, Q.y = 18.302835, Qt.y = 0.000000, R.y = 18.302835, Rt.y = 0.000000, S.y = 18.302835, St.y = 0.000000
P.y = 18.270599, Pt.y = 0.000000, Q.y = 18.270599, Qt.y = 0.000000, R.y = 18.270599, Rt.y = 0.000000, S.y = 18.270599, St.y = 0.000000
P.y = 18.238060, Pt.y = 0.000000, Q.y = 18.238060, Qt.y = 0.000000, R.y = 18.238060, Rt.y = 0.000000, S.y = 18.238060, St.y = 0.000000
P.y = 18.205217, Pt.y = 0.000000, Q.y = 18.205217, Qt.y = 0.000000, R.y = 18.205217, Rt.y = 0.000000, S.y = 18.205217, St.y = 0.000000
P.y = 18.172071, Pt.y = 0.000000, Q.y = 18.172071, Qt.y = 0.000000, R.y = 18.172071, Rt.y = 0.000000, S.y = 18.172071, St.y = 0.000000
